Class,Type,Group,Food,Allergy
Plant origin,Vegetable,Umbelliferous vegetable,Parsley,Hypersensitivity
Plant origin,Vegetable,Umbelliferous vegetable,Parsnip,Hypersensitivity
Plant origin,Fruit,Tropical fruit,Passion fruit,Oral Allergy Syndrome
Plant origin,Fruit,Stone fruit,Peach,Stone Fruit Allergy
Plant origin,Cereal grain and pulse,Pulse,Peanut,Peanut Allergy
Plant origin,Fruit,Pome fruit,Pear,Oral Allergy Syndrome
Plant origin,Vegetable,Legumes vegetable,Peas,Legume Allergy
Plant origin,Cereal grain and pulse,Pulse,Peas,Legume Allergy
Plant origin,Nut and seed,Oil seed,Pecan,Nut Allergy
Plant origin,Cereal grain and pulse,Pulse,Pegia,Legume Allergy
Plant origin,Spice and herb,Herb,Peppermint,Mint Allergy
Animal,Aquatic animal,Fish,Percifomes,Fish Allergy
Animal,Terrestrial mammal,Offal,Pig,Alpha-gal Syndrome
Plant origin,Fruit,Tropical fruit,Pineapple,Oral Allergy Syndrome
Plant origin,Cereal grain and pulse,Cereal grain,Popcorn,Corn Allergy
Plant origin,Vegetable,Potato,Potato,Potato Allergy
Plant origin,Fruit,Stone fruit,Prune,Stone Fruit Allergy
Plant origin,Vegetable,Cucurbitaceous vegetable,Pumpkin,
Plant origin,Vegetable,Cruciferous vegetable,Qing-geng-cai,Cruciferous Allergy
Plant origin,Fruit,Pome fruit,Quince,Oral Allergy Syndrome
Plant origin,Vegetable,Cruciferous vegetable,Radish leaf,
Plant origin,Vegetable,Cruciferous vegetable,Radish root,Hypersensitivity
Plant origin,Nut and seed,Oil seed,Rapeseed,Seed Allergy
Plant origin,Fruit,Berry,Raspberry,Salicylate Allergy
Plant origin,Cereal grain and pulse,Cereal grain,Rice,Rice Allergy
Plant origin,Oil,Oil,Ricebran oil,
Animal,Bee product,Bee product,Royal Jelly,Honey Allergy
Plant origin,Cereal grain and pulse,Cereal grain,Rye,Gluten Allergy
Plant origin,Nut and seed,Oil seed,Safflower seed,Seed Allergy
Animal,Aquatic animal,Fish,Salmon,Fish Allergy
Plant origin,Vegetable,Composite vegetable,Salsify,Insulin Allergy
Plant origin,Spice and herb,Spice,Sansho,Pepper Allergy
Animal,Aquatic animal,Fish,Sea Bass,Fish Allergy
Animal,Aquatic animal,Fish,Sea Bream,Fish Allergy
Plant origin,Nut and seed,Oil seed,Sesame seed,Seed Allergy
Plant origin,Vegetable,Liliaceous vegetable,Shallot,Allium Allergy
Animal,Terrestrial mammal,Offal,Sheep,Alpha-gal Syndrome
Animal,Aquatic animal,Shellfish,Shelled mollusc,Fish Allergy
Plant origin,Vegetable,Mushroom,Shiitake  mushroom,Mushroom Allergy
Plant origin,Vegetable,Composite vegetable,Shungiku,Insulin Allergy
Animal,Dairy,Dairy,Sour cream,Milk allergy / Lactose intolerance
Plant,Cereal grain and pulse,Pulse,Soybean,Soy Allergy
Plant,Spice and herb,Herb,Spearmint,Mint Allergy
Plant,Vegetable,Miscellaneous vegetable,Spinach,Histamine Allergy
Plant,Vegetable,Cucurbitaceous vegetable,Squash,
Plant,Fruit,Berry,Strawberry,Salicylate Allergy
Plant,Vegetable,Sugar source,Sugar,Sugar Allergy / Intolerance
Plant,Vegetable,Sugar source,Sugar beet,Sugar Allergy / Intolerance
Plant,Vegetable,Sugar source,Sugarcane,Sugar Allergy / Intolerance
Plant,Cereal grain and pulse,Pulse,Sultani,Legume Allergy
Plant,Cereal grain and pulse,Pulse,Sultapya,Legume Allergy
Plant,Oil,Oil,Sunflower oil,
Plant,Nut and seed,Oil seed,Sunflower seed,Seed Allergy
Plant,Cereal grain and pulse,Cereal grain,Sweet corn,Corn Allergy
Plant,Vegetable,Solanceous vegetable,Sweet Pepper,Nightshade Allergy
Plant,Vegetable,Potato,Sweet potato,Potato Allergy
Plant,Vegetable,Potato,Taro,Potato Allergy
Plant,Tea,Tea,Tea,Tannin Allergy
Animal,Aquatic animal,Fish,Tetraodontiformes,Fish Allergy
Plant,Vegetable,Solanceous vegetable,Tomato,Nightshade Allergy
Animal,Aquatic animal,Fish,Trout,Fish Allergy
Animal,Aquatic animal,Fish,Tuna,Fish Allergy
Animal,Poultry,Offal,Turkey,Poultry Allergy
Plant,Vegetable,Cruciferous vegetable,Turnip leaf,
Plant,Vegetable,Cruciferous vegetable,Turnip root,Thyroid
Plant,Oil,Oil,Vegetable oil,
Plant,Nut and seed,Oil seed,Walnut,Nut Allergy
Plant,Vegetable,Cucurbitaceous vegetable,Water melon,
Plant,Vegetable,Cruciferous vegetable,Watercress,
Plant,Vegetable,Liliaceous vegetable,Welsh,Allium Allergy
Plant,Cereal grain and pulse,Cereal grain,Wheat,Gluten Allergy
Animal,Dairy,Dairy,Whey,Milk allergy / Lactose intolerance
Plant,Cereal grain and pulse,Pulse,White bean,Legume Allergy
Plant,Vegetable,Potato,Yam,Potato Allergy
Animal,Dairy,Dairy,Yogurt ,Milk allergy / Lactose intolerance 
